product_id,platform,product_name,brand,mrp,category,subcategory,quantity,timestamp,image_url,deeplink,normalized_name,quantity_value,quantity_unit,pack_count,quantity_type
PFDGP7P2H3HDQTQM,Flipkart,Adult Cat Food Sea Food Sea Food 1 kg Dry Adult Cat Food,Purepet,199,PetSupply,PetSupplies,,2026-09-01T17:17:33.578Z,https://rukminim1.flixcart.com/image/300/300/xif0q/pet-food/h/b/w/-original-imahjw2uhcnrydx6.jpeg?q=90,https://www.flipkart.com/-/p/-?pid=PFDGP7P2H3HDQTQM&marketplace=HYPERLOCAL,adult cat food sea food sea food 1 kg dry adult cat food,,,1.0,
CDGHGBGD6YYZBEKR,Flipkart,Luxury Single,Black Box,373,Toy,PuzzleBoardGame,Multicolor,2026-09-01T17:17:10.384Z,https://rukminim1.flixcart.com/image/300/300/xif0q/card-game/2/r/k/14-luxury-single-black-box-original-imahgbgevhfrtefr.jpeg?q=90,https://www.flipkart.com/-/p/-?pid=CDGHGBGD6YYZBEKR&marketplace=HYPERLOCAL,luxury single,,,1.0,
KHKGNJP2HXHYA7HG,Flipkart,1 Pc Stainless Steel Knife Cartini Easy Chopping Knife,Godrej,165,CookingAndCookware,KitchenTools,,2026-09-01T17:16:50.460Z,https://rukminim1.flixcart.com/image/300/300/xif0q/kitchen-knife/n/s/o/1-7137-4-5-godrej-enriched-transparent-original-imaha648hgtcgxnm.png?q=90,https://www.flipkart.com/-/p/-?pid=KHKGNJP2HXHYA7HG&marketplace=HYPERLOCAL,1 pc stainless steel knife cartini easy chopping knife,,,1.0,
LBXGKF9VHQDZZSHT,Flipkart,"Pro Lunch Box With Insulated Fabric Jacket (180,320,450,100,750ml) 4 Containers Stainless Steel, Plastic Office Lunch Box",MILTON,1999,DiningAndStorage,StorageAndContainers,1800 ml,2026-09-01T17:16:09.403Z,https://rukminim1.flixcart.com/image/300/300/xif0q/lunch-box/s/z/a/1800-pro-lunch-tiffin-with-insulated-fabric-jacket-milton-4-original-imah3a9zefhfzmzh.jpeg?q=90,https://www.flipkart.com/-/p/-?pid=LBXGKF9VHQDZZSHT&marketplace=HYPERLOCAL,pro lunch box with insulated fabric jacket 180 320 450 100 750ml 4 containers stainless steel plastic office lunch box,1800.0,ml,1.0,volume
HASF7ZYUJKDUUG4K,Flipkart,Chilli Flakes,On1y,99,Gourmet,SpicesCondimentsSauces,34 g,2026-09-01T17:15:15.230Z,https://rukminim1.flixcart.com/image/300/300/xif0q/herb-seasoning/g/4/k/34-glass-bottle-on1y-enriched-transparent-original-imafb47zdxcsfdgx.png?q=90,https://www.flipkart.com/-/p/-?pid=HASF7ZYUJKDUUG4K&marketplace=HYPERLOCAL,chilli flakes,34.0,g,1.0,weight
AIRGXWFVBFPJMHMC,Flipkart,Air Freshener Breeze Spray Room Freshener Spray,Flipkart Supermart,149,HouseHoldSuppliesAndConsummables,HouseHoldSuppliesAndConsummables,220 ml,2026-09-01T17:14:56.561Z,https://rukminim1.flixcart.com/image/300/300/xif0q/air-freshener/p/p/u/-original-imah2fb5sxxfqpgg.jpeg?q=90,https://www.flipkart.com/-/p/-?pid=AIRGXWFVBFPJMHMC&marketplace=HYPERLOCAL,air freshener breeze spray room freshener spray,220.0,ml,1.0,volume
ACCGY97PSGBSVJQB,Flipkart,Back Cover for OnePlus Nord CE 3 Lite 5G,KWINE CASE,1199,MobileProtection,MobileProtection,"Black, Flexible, Thermoplastic Polyurethane, Pack of: 1",2026-09-01T17:14:45.977Z,https://rukminim1.flixcart.com/image/300/300/xif0q/cases-covers/back-cover/l/0/a/chry-blk-nw-opnrdc3lt-kwine-case-enriched-transparent-original-imahk8cdctknpjum.png?q=90,https://www.flipkart.com/-/p/-?pid=ACCGY97PSGBSVJQB&marketplace=HYPERLOCAL,back cover for oneplus nord ce 3 lite 5g,,,1.0,
ACCGVWHZRRBGUXAR,Flipkart,Back Cover for SAMSUNG Galaxy A35 5G,KWINE CASE,1199,MobileProtection,MobileProtection,"Black, Camera Bump Protector, Silicon, Pack of: 1",2026-09-01T17:14:45.977Z,https://rukminim1.flixcart.com/image/300/300/xif0q/cases-covers/back-cover/s/k/k/chry-sam355g-kwine-case-enriched-transparent-original-imahkahmkersda3u.png?q=90,https://www.flipkart.com/-/p/-?pid=ACCGVWHZRRBGUXAR&marketplace=HYPERLOCAL,back cover for samsung galaxy a35 5g,,,1.0,
TPOFZGCZEYQZW5RH,Flipkart,Toilet Paper | Tissue Roll Toilet Paper Roll,Origami,290,HouseHoldSuppliesAndConsummables,HouseHoldSuppliesAndConsummables,"3 Ply, 160 Sheets",2026-09-01T17:14:41.374Z,https://rukminim1.flixcart.com/image/300/300/xif0q/toilet-paper-roll/0/r/r/-enriched-transparent-original-imahyyhxq6ugj2vk.png?q=90,https://www.flipkart.com/-/p/-?pid=TPOFZGCZEYQZW5RH&marketplace=HYPERLOCAL,toilet paper tissue roll toilet paper roll,160.0,sheet,1.0,count
CBKH3YJS9FZXWBEE,Flipkart,"Fire & Ice Perfume for Men, Woody & Citrusy Long Lasting Perfume, Pack of 2 Eau de Parfum  -  200 ml",SET WET,1198,Fragrance,Fragrance,For Men,2026-09-01T17:14:39.445Z,https://rukminim1.flixcart.com/image/300/300/xif0q/combo-kit/6/c/d/-enriched-transparent-original-imah3ftjcgus9upu.png?q=90,https://www.flipkart.com/-/p/-?pid=CBKH3YJS9FZXWBEE&marketplace=HYPERLOCAL,fire ice perfume for men woody citrusy long lasting perfume pack of 2 eau de parfum 200 ml,,,1.0,
