platform,pincode,product_id,product_name,brand,price,mrp,quantity,available,inventory,eta,store_id,timestamp,normalized_name,quantity_value,quantity_unit
Zepto,110085,a3781556-cac9-41f9-8bf5-2a19acff8b14,Farm Fresh Milk | Bottle,Pride Of Cows,85.0,85.0,1 pc (500 ml),True,1,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765540,farm fresh milk bottle,500.0,ml
Zepto,110085,1638f685-befc-478e-95f8-2d92213866e7,Moti Toned Milk | 90 Days Shelf life,Amul,33.0,33.0,1 pack (450 ml),True,156,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765558,moti toned milk 90 days shelf life,450.0,ml
Zepto,110085,9d447ba5-1d35-46e1-bc64-e932135d026f,Taaza Toned Fresh Milk | Pouch,Amul,27.0,30.0,1 pack (500 ml),True,49,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765562,taaza toned fresh milk pouch,500.0,ml
Zepto,110085,8de1592a-3b72-4b0a-8527-ef59c4620410,Cow Fresh Milk | Pouch,Amul,31.0,31.0,1 pack (500 ml),True,12,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765565,cow fresh milk pouch,500.0,ml
Zepto,110085,051dbb52-bcad-48b4-bb9f-63f409a6d38f,A2 Buffalo Fresh Milk | Pouch,Amul,37.0,40.0,1 pack (500 ml),True,41,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765569,a2 buffalo fresh milk pouch,500.0,ml
Zepto,110085,84eae511-5edb-4a22-875e-5aa94976c2d6,Taaza Homogenised Toned Milk (Tetra Pack),Amul,77.0,77.0,1 pack (1 L),True,47,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765572,taaza homogenised toned milk tetra pack,1000.0,ml
Zepto,110085,ff393466-31a4-4aba-a51b-a787c39ef57e,Gold Homogenised Standardised Milk (Tetra Pack),Amul,83.0,83.0,1 pack (1 L),True,10,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765577,gold homogenised standardised milk tetra pack,1000.0,ml
Zepto,110085,49d4d663-08b3-429d-a986-c2363546c836,Promilk | Protein Fresh Milk | 20g Protein | Pouch,Mother Dairy,33.0,36.0,1 pack (500 ml),True,20,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765580,promilk protein fresh milk 20g protein pouch,500.0,ml
Zepto,110085,11cca7b6-7d07-4e6e-a799-0fcf85f7b5da,Slim Trim Skimmed Milk (Tetra Pack),Amul,85.0,85.0,1 pack (1 L),True,16,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765760,slim trim skimmed milk tetra pack,1000.0,ml
Zepto,110085,8518f384-fc9d-48d9-8f42-baa95064a463,UHT Sterilised Toned Milk,Mother Dairy,75.0,77.0,1 pack (1 L),True,3,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765766,uht sterilised toned milk,1000.0,ml
Zepto,110085,37486928-8fb5-440a-84dc-5cd7fe559647,Hilo - High Protein | Low Fat Fresh Milk | 27g Protein | Pouch,Frubon,34.0,55.0,1 pc (500 ml),True,2,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765768,hilo high protein low fat fresh milk 27g protein pouch,500.0,ml
Zepto,110085,54d5a66c-7911-40ec-aa65-940a2146bc57,Humpy A2 Cow Fresh Milk | Pouch,Humpy Farms,46.0,49.0,1 pack (500 ml),True,9,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765771,humpy a2 cow fresh milk pouch,500.0,ml
Zepto,110085,f4ce5c72-a6f8-4739-8e02-8407ca5c8ec1,Pure Desi A2 Cow Fresh Milk | Pouch,Doodhvale Farms,34.0,47.0,1 pack (450 ml),True,10,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765773,pure desi a2 cow fresh milk pouch,450.0,ml
Zepto,110085,690490c2-1a04-458b-8a6c-f7c8cd01f1c4,EveryDay Dairy Whitener,Nestle,129.0,129.0,1 pack (200 g),True,12,11 mins,261b9c45-eb5b-4398-be1c-909ccde6f629,2026-09-01T00:41:48.765775,everyday dairy whitener,200.0,g
